old_name,new_name,new_description,img,img-path
Stride Potion,Agility Booster Nanoshot,A fast-acting nanite injection that heightens reflex loops and micro-muscle response. +1 bonus to your next Agility roll.,stride-potion.webp,modules\cybermancy\assets\icons\consumables\agility-booster-nanoshot.webp
Bolster Potion,Muscle Overdrive Serum,A strength-enhancing stim that floods the body with synthetic adrenaline. +1 bonus to your next Strength roll.,bolster-potion.webp,modules\cybermancy\assets\icons\consumables\muscle-overdrive-serum.webp
Control Potion,Precision Sync Injector,A neural alignment serum that steadies fine-motor control. +1 bonus to your next Finesse roll.,control-potion.webp,modules\cybermancy\assets\icons\consumables\precision-sync-injector.webp
Attune Potion,Instinct Amplifier Chip,A temporary neural patch that sharpens intuition and sensory prediction. +1 bonus to your next Instinct roll.,attune-potion.webp,modules\cybermancy\assets\icons\consumables\instinct-amplifier-chip.webp
Charm Potion,Persona Enhancement Dose,An injectable charisma mod that boosts confidence and pheromonal output. +1 bonus to your next Presence roll.,charm-potion.webp,modules\cybermancy\assets\icons\consumables\persona-enhancement-dose.webp
Enlighten Potion,Cognitive Overclock Pill,A nootropic compound that spikes short-term intellect and recall. +1 bonus to your next Knowledge roll.,enlighten-potion.webp,modules\cybermancy\assets\icons\consumables\cognitive-overclock-pill.webp
Minor Health Potion,Minor Health Stimpack,A compact medical injector loaded with clotting foam and nanite tissue repair. Restores 1d4 HP.,minor-health-potion.webp,modules\cybermancy\assets\icons\consumables\minor-health-stimpack.webp
Minor Stamina Potion,Minor Adrenaline Patch,A mild stim patch that reduces stress hormones and stabilizes vitals. Clears 1d4 Stress.,minor-stamina-potion.webp,modules\cybermancy\assets\icons\consumables\minor-adrenaline-patch.webp
Grindeltooth Venom,Corrosive Edge Coating,A reactive gel applied to blades that adds an acidic burst on impact. Adds 1d6 to your next physical damage roll.,grindeltooth-venom.webp,modules\cybermancy\assets\icons\consumables\corrosive-edge-coating.webp
Varik Leaves,Focus Amp Tabs,A pair of dissolving nootropic strips that flood the mind with clarity. Gain 2 Hope.,varik-leaves.webp,modules\cybermancy\assets\icons\consumables\focus-amp-tabs.webp
Vial of Moondrip,Night-Vision Eye Drops,A retinal nanofluid that enhances low-light sensitivity. You can see in total darkness until your next rest.,vial-of-moondrip.webp,modules\cybermancy\assets\icons\consumables\night-vision-eye-drops.webp
Unstable Arcane Shard,Unstable Plasma Grenade,"A volatile micro-fusion cell that can be hurled at a target cluster. On hit, deals 1d20 plasma damage within Far range.",unstable-arcane-shard.webp,modules\cybermancy\assets\icons\consumables\unstable-plasma-grenade.webp
Potion of Stability,Neural Reset Drink,A calming electrolyte-nootropic blend that restores mental balance. Choose one additional downtime move.,potion-of-stability.webp,modules\cybermancy\assets\icons\consumables\neural-reset-drink.webp
Improved Grindeltooth Venom,Enhanced Corrosive Edge Coating,An upgraded acid polymer that superheats on contact. Adds 1d8 to your next physical damage roll.,improved-grindeltooth-venom.webp,modules\cybermancy\assets\icons\consumables\enhanced-corrosive-edge-coating.webp
Morphing Clay,Biomimetic Mask Gel,A skin-altering nanogel that reconfigures facial features. Spend 4 Hope to appear unrecognizable until next rest.,morphing-clay.webp,modules\cybermancy\assets\icons\consumables\biomimetic-mask-gel.webp
Vial of Darksmoke,Reactive Evasion Smoke,A one-use vial that releases micro-smoke drones. Roll d6s equal to Agility; add the highest to Evasion vs. that attack.,vial-of-darksmoke.webp,modules\cybermancy\assets\icons\consumables\reactive-evasion-smoke.webp
Jumping Root,Kinetic Leg Booster,A leg-mounted actuator charge that launches you up to Far range once without rolling.,jumping-root.webp,modules\cybermancy\assets\icons\consumables\kinetic-leg-booster.webp
Snap Powder,Combat Regen Inhalant,A rapid-acting chemical cocktail—mark 1 Stress to clear 1 HP.,snap-powder.webp,modules\cybermancy\assets\icons\consumables\combat-regen-inhalant.webp
Health Potion,Standard Health Stimpack,A dual-dose medical injector that rebuilds soft tissue instantly. Restores 1d4+1 HP.,health-potion.webp,modules\cybermancy\assets\icons\consumables\standard-health-stimpack.webp
Stamina Potion,Standard Adrenaline Patch,A concentrated stim patch that resets stress pathways. Clears 1d4+1 Stress.,stamina-potion.webp,modules\cybermancy\assets\icons\consumables\standard-adrenaline-patch.webp
Armor Stitcher,Armor Nanite Repair Kit,A swarm of nanites that reknit damaged armor plating. Spend any amount of Hope to clear that many Armor Slots.,armor-stitcher.webp,modules\cybermancy\assets\icons\consumables\armor-nanite-repair-kit.webp
Gill Salve,Respirator Gel,A bio-gel that filters oxygen from water through skin membranes. Breathe underwater minutes equal to your level.,gill-salve.webp,modules\cybermancy\assets\icons\consumables\respirator-gel.webp
Replication Parchment,Data Clone Chip,"A single-use microdrive that duplicates any stored data perfectly. After use, becomes inert silicon.",replication-parchment.webp,modules\cybermancy\assets\icons\consumables\data-clone-chip.webp
Improved Arcane Shard,Improved Plasma Grenade,An upgraded plasma charge with doubled output. Deals 2d20 plasma damage within Far range.,improved-arcane-shard.webp,modules\cybermancy\assets\icons\consumables\improved-plasma-grenade.webp
Major Stride Potion,Agility Booster Plus,An enhanced nanoshot that grants +1 Agility until your next rest.,major-stride-potion.webp,modules\cybermancy\assets\icons\consumables\agility-booster-plus.webp
Major Bolster Potion,Muscle Overdrive Plus,Advanced muscle stim that grants +1 Strength until your next rest.,major-bolster-potion.webp,modules\cybermancy\assets\icons\consumables\muscle-overdrive-plus.webp
Major Control Potion,Precision Sync Plus,Optimized neural alignment implant granting +1 Finesse until next rest.,major-control-potion.webp,modules\cybermancy\assets\icons\consumables\precision-sync-plus.webp
Major Attune Potion,Instinct Amplifier Plus,Refined AI-tuned patch that grants +1 Instinct until next rest.,major-attune-potion.webp,modules\cybermancy\assets\icons\consumables\instinct-amplifier-plus.webp
Major Charm Potion,Persona Enhancement Plus,Improved pheromone mod granting +1 Presence until next rest.,major-charm-potion.webp,modules\cybermancy\assets\icons\consumables\persona-enhancement-plus.webp
Major Enlighten Potion,Cognitive Overclock Plus,Advanced nootropic granting +1 Knowledge until next rest.,major-enlighten-potion.webp,modules\cybermancy\assets\icons\consumables\cognitive-overclock-plus.webp
Blood of the Yorgi,Phase-Shift Serum,A rare experimental serum that lets the user blink through space within very Far range.,blood-of-the-yorgi.webp,modules\cybermancy\assets\icons\consumables\phase-shift-serum.webp
Hornet’s Secret Potion,Guaranteed Critical Algorithm,A microchip booster that ensures your next successful attack critically succeeds.,hornet’s-secret-potion.webp,modules\cybermancy\assets\icons\consumables\guaranteed-critical-algorithm.webp
Redthorn Saliva,Hyper-Corrosive Edge Coating,A volatile toxin gel that adds 1d12 to your next physical damage roll.,redthorn-saliva.webp,modules\cybermancy\assets\icons\consumables\hyper-corrosive-edge-coating.webp
Channelstone,Spell Cache Drive,"A neural-linked data drive that lets you temporarily load and cast one stored spell, then offload it.",channelstone.webp,modules\cybermancy\assets\icons\consumables\spell-cache-drive.webp
Mythic Dust,Arc Resonance Powder,Quantum dust that amplifies energy weapon output. Adds 1d12 to your next magic damage roll.,mythic-dust.webp,modules\cybermancy\assets\icons\consumables\arc-resonance-powder.webp
Acidpaste,Wall-Melt Gel,An industrial solvent that dissolves barriers in bright flashes—stand clear.,acidpaste.webp,modules\cybermancy\assets\icons\consumables\wall-melt-gel.webp
Hopehold Flare,Morale Beacon Flare,"A short-range beacon that boosts allied morale. Allies in Close range roll d6 when spending Hope; on a 6, Hope isn’t spent.",hopehold-flare.webp,modules\cybermancy\assets\icons\consumables\morale-beacon-flare.webp
Major Arcane Shard,Major Plasma Grenade,A heavy plasma cell delivering 4d20 plasma damage within Far range.,major-arcane-shard.webp,modules\cybermancy\assets\icons\consumables\major-plasma-grenade.webp
Featherbone,Grav-Damp Chip,"A spinal implant chip that reduces gravitational pull, letting you fall slowly for minutes equal to your level.",featherbone.webp,modules\cybermancy\assets\icons\consumables\grav-damp-chip.webp
Circle of the Void,Null-Field Generator,A portable field device that nullifies magic and digital resonance within Far range for one scene.,circle-of-the-void.webp,modules\cybermancy\assets\icons\consumables\null-field-generator.webp
Sun Tree Sap,Quantum Flux Serum,A chaotic serum that triggers random recovery or visions of death. Roll d6 for varying effects.,sun-tree-sap.webp,modules\cybermancy\assets\icons\consumables\quantum-flux-serum.webp
Dripfang Poison,Neural Toxin Ampule,A potent injectable that delivers 2d10 direct neural damage to a victim.,dripfang-poison.webp,modules\cybermancy\assets\icons\consumables\neural-toxin-ampule.webp
Major Health Potion,Major Health Stimpack,High-capacity stimpack restoring 1d4+2 HP.,major-health-potion.webp,modules\cybermancy\assets\icons\consumables\major-health-stimpack.webp
Major Stamina Potion,Major Adrenaline Patch,Upgraded patch clearing 1d4+2 Stress.,major-stamina-potion.webp,modules\cybermancy\assets\icons\consumables\major-adrenaline-patch.webp
Ogre Musk,Tracking Scrambler Mist,"A chemical cloud that scrambles biosign and digital traces, preventing tracking until next rest.",ogre-musk.webp,modules\cybermancy\assets\icons\consumables\tracking-scrambler-mist.webp
Wingsprout,Grav-Lift Harness,Deployable grav-wings granting flight for minutes equal to your level.,wingsprout.webp,modules\cybermancy\assets\icons\consumables\grav-lift-harness.webp
Jar of Lost Voices,Sonic Disruption Jar,Releases a cacophony of ghostly feedback. All within Far range take 6d8 sonic damage.,jar-of-lost-voices.webp,modules\cybermancy\assets\icons\consumables\sonic-disruption-jar.webp
Dragonbloom Tea,Pyro-Core Injector,An internal reactor shot that lets you exhale plasma fire. Make an Instinct roll; targets in front take 2d20 physical damage.,dragonbloom-tea.webp,modules\cybermancy\assets\icons\consumables\pyro-core-injector.webp
Bridge Seed,Nanowire Bridge Pod,Deploys self-assembling nanowires forming a bridge up to Far range; dissolves after short rest.,bridge-seed.webp,modules\cybermancy\assets\icons\consumables\nanowire-bridge-pod.webp
Sleeping Sap,Deep-Sleep Capsule,A sedative capsule inducing full rest and clearing all Stress on waking.,sleeping-sap.webp,modules\cybermancy\assets\icons\consumables\deep-sleep-capsule.webp
Feast of Xurla,Executive Feast Pack,A luxury nutrient kit that clears all HP and Stress and grants 1d4 Hope.,feast-of-xurla.webp,modules\cybermancy\assets\icons\consumables\executive-feast-pack.webp
Bonding Honey,Industrial Adhesive Gel,A dual-compound resin that permanently bonds objects together.,bonding-honey.webp,modules\cybermancy\assets\icons\consumables\industrial-adhesive-gel.webp
Shrinking Potion,Micro-Size Serum,A nanite serum halving your body size with +2 Agility and –1 Proficiency until reverted.,shrinking-potion.webp,modules\cybermancy\assets\icons\consumables\micro-size-serum.webp
Growing Potion,Macro-Size Serum,A nanite expansion serum doubling your size with +2 Strength and +1 Proficiency until reverted.,growing-potion.webp,modules\cybermancy\assets\icons\consumables\macro-size-serum.webp
Knowledge Stone,Memory Transfer Crystal,"Upon death, stores your last loadout data. An ally can absorb it, inheriting one of your cards before it dissolves.",knowledge-stone.webp,modules\cybermancy\assets\icons\consumables\memory-transfer-crystal.webp
Sweet Moss,Soothing Med-Gel,A rest-time gel that clears 1d10 HP or 1d10 Stress when applied.,sweet-moss.webp,modules\cybermancy\assets\icons\consumables\soothing-med-gel.webp
Blinding Orb,Flashbang Grenade,A high-intensity flash device blinding all targets within Close range until they take HP damage.,blinding-orb.webp,modules\cybermancy\assets\icons\consumables\flashbang-grenade.webp
Death Tea,Assassin’s Neurotoxin,"A lethal nanopoison: if you crit before your next long rest, your target dies. Fail—and so do you.",death-tea.webp,modules\cybermancy\assets\icons\consumables\assassin’s-neurotoxin.webp
Mirror of Marigold,Reactive Deflection Matrix,"A single-use energy field that negates one instance of damage when Hope is spent, then shatters.",mirror-of-marigold.webp,modules\cybermancy\assets\icons\consumables\reactive-deflection-matrix.webp
Stardrop,Orbital Strike Beacon,A miniaturized satellite uplink calling down a storm of kinetic rods. Deals 8d20 physical damage within Very Far range.,stardrop.webp,modules\cybermancy\assets\icons\consumables\orbital-strike-beacon.webp
