name,type,img,description,tier,secondary,burden,primaryAction,additionalActions,intrinsicEffects,DHFeature,range,numtargets,trait,damage,damageType,damageTo,cybermancy-feature-name,feature-img,cybermancy-feature-effect,critical-effect-name,critical-effect-img,critical-effect
Loaded Battleaxe,weapon,modules/cybermancy/assets/icons/weapons/axes/axe-double-jagged-black.webp,It's an axe,1,FALSE,twoHanded,attack,Legendary_Whip,,,melee,1,strength,d10+3,physical,hitPoints,,,,,,
Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/monofilament-whip.webp,"A razor-thin filament coil capable of slicing through armor and bone. Deadly, silent, and banned in most civilized zones.",1,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d10,physical,hitPoints,Lethal Edge,modules/cybermancy/assets/icons/features/lethal-edge.webp," On a Hope win, deal Severe damage if the Fear die shows 8-12.",Slice in Two,modules/cybermancy/assets/icons/features/slice-in-two.webp," Sever or disable a limb, item, or piece of cover."
Cyber Spur,weapon,modules/cybermancy/assets/icons/weapons/cyber-spur.webp,"A retractable blade hidden in the user’s forearm, perfect for sudden, lethal strikes in close quarters.",1,FALSE,oneHanded,attack,,,retractable,melee,1,instinct,d8,physical,hitPoints,Concealed,modules/cybermancy/assets/icons/features/concealed.webp, Can be hidden; gain advantage on your first attack each scene.,Ambush Kill,modules/cybermancy/assets/icons/features/ambush-kill.webp," If striking from surprise, escalate Fear consequences for target."
Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/shock-baton.webp,"A polymer club fitted with a high-voltage capacitor, used by corp security and riot control alike.",1,FALSE,oneHanded,attack,,,,close,1,presence,d8+1,physical,hitPoints,Stunning,modules/cybermancy/assets/icons/features/stunning.webp, Spend a Hope on a successful hit to inflict Dazed for one round.,Knockout,modules/cybermancy/assets/icons/features/knockout.webp, Target is stunned or unconscious for one scene beat.
Vibro-Knife,weapon,modules/cybermancy/assets/icons/weapons/vibro-knife.webp,"A short combat blade that hums at ultrasonic speed, capable of piercing armor with surgical precision.",1,FALSE,oneHanded,attack,,,,melee,1,agility,d8+2,physical,hitPoints,Piercing,modules/cybermancy/assets/icons/features/piercing.webp, Ignores armor on a Hope critical.,Silent Kill,modules/cybermancy/assets/icons/features/silent-kill.webp, Disable one target silently with no alert escalation.
Smartpistol,weapon,modules/cybermancy/assets/icons/weapons/smartpistol.webp,"Compact sidearm with digital targeting and auto-adjust systems, favored by professional runners.",1,FALSE,oneHanded,attack,,,,far,1,finesse,d6+2,physical,hitPoints,Smartlink,modules/cybermancy/assets/icons/features/smartlink.webp," Once per scene, reroll one attack die if linked to cyberware/gear.",Pinpoint,modules/cybermancy/assets/icons/features/pinpoint.webp, Crit ignores cover; disable weapon/armor.
SMG (Machine Pistol),weapon,modules/cybermancy/assets/icons/weapons/smg-machine-pistol.webp,"Lightweight submachine gun optimized for close-quarters burst fire; loud, fast, and unforgiving.",1,FALSE,twoHanded,attack,,,,close,1,agility,d6+3,physical,hitPoints,Burst Fire,modules/cybermancy/assets/icons/weapons-feature/burst-fire.webp, Mark 1 Stress to attack an additional target in Close range.,Spray Down,modules/cybermancy/assets/icons/features/spray-down.webp, Hit all targets in Very Close range with collateral fire.
Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/assault-rifle.webp,"The runner’s staple: reliable, lethal, and adaptable across every corporate warzone on Earth.",1,FALSE,twoHanded,attack,,,,far,1,strength,d8+3,physical,hitPoints,Suppressive Fire,modules/cybermancy/assets/icons/weapons-feature/suppressive-fire.webp," On a Hope win, target must mark 1 Stress to act next turn.",Shredding Burst,modules/cybermancy/assets/icons/features/shredding-burst.webp," Force enemy into cover, reducing their next attack roll."
Shotgun,weapon,modules/cybermancy/assets/icons/weapons/shotgun.webp,Brutal close-range weapon that clears hallways with concussive thunder and devastating scatter.,1,FALSE,twoHanded,attack,,,,close,1,instinct,d10+2,physical,hitPoints,Scatter,modules/cybermancy/assets/icons/weapons-feature/scatter.webp, Spend a Hope to attack all targets in Very Close range.,Point-Blank Devastation,modules/cybermancy/assets/icons/features/point-blank-devastation.webp, Knock back and lose next action.
Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/sniper-rifle.webp,"Precision weapon built for the patient killer — silent, steady, and unerring over long distances.",1,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d8+4,physical,hitPoints,Scoped,modules/cybermancy/assets/icons/weapons-feature/scoped.webp, Spend a round aiming to gain advantage on next shot.,Through and Through,modules/cybermancy/assets/icons/features/through-and-through.webp, Bullet passes through to a second target in line.
Throwing Knives,weapon,modules/cybermancy/assets/icons/weapons/throwing-knives.webp,Balanced steel blades designed for silent takedowns or distraction in the shadows.,1,FALSE,oneHanded,attack,,,,close,1,agility,d6+1,physical,hitPoints,Quick Draw,modules/cybermancy/assets/icons/weapons-feature/quick-draw.webp, May be used as a reaction against melee attackers.,Pinning Strike,modules/cybermancy/assets/icons/features/pinning-strike.webp," Pin targets limb, weapon, or clothing, restricting movement."
Fragmentation Grenade,weapon,modules/cybermancy/assets/icons/weapons/fragmentation-grenade.webp,A high-yield fragmentation device scattering lethal shrapnel in every direction.,1,FALSE,oneHanded,attack,,,,far,1,strength,d12,physical,hitPoints,Explosive,modules/cybermancy/assets/icons/weapons-feature/explosive.webp," On Hope win, half damage to all in Close range.",Shrapnel Storm,modules/cybermancy/assets/icons/features/shrapnel-storm.webp, All enemies in area take full damage and mark 1 Stress.
EMP Grenade,weapon,modules/cybermancy/assets/icons/weapons/emp-grenade.webp,"Pulse emitter that fries circuits, drones, and cyberware with a single electromagnetic burst.",1,FALSE,oneHanded,attack,,,,far,1,knowledge,d8,physical,hitPoints,Disruptive,modules/cybermancy/assets/icons/weapons-feature/disruptive.webp," On hit, drones/tech in range must succeed or shut down 1 round.",Total System Crash,modules/cybermancy/assets/icons/features/total-system-crash.webp, All devices in area disabled until end of scene.
Improved Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/improved-monofilament-whip.webp,A reinforced filament with servo control for higher cutting torque and unmatched lethality.,2,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d10+4,physical,hitPoints,Lethal Edge,modules/cybermancy/assets/icons/weapons-feature/lethal-edge.webp," On a Hope win, upgrade one damage die to max value.",Severance,modules/cybermancy/assets/icons/features/severance.webp," Cut through armor, restraints, or environmental barriers."
Improved Cyber Spur,weapon,modules/cybermancy/assets/icons/weapons/improved-cyber-spur.webp,"Enhanced retractable spurs forged from titanium alloy, near undetectable by security scanners.",2,FALSE,oneHanded,attack,,,,melee,1,instinct,d8+4,physical,hitPoints,Concealed,modules/cybermancy/assets/icons/weapons-feature/concealed.webp, Cannot be detected by casual scans.,Spinal Strike,modules/cybermancy/assets/icons/features/spinal-strike.webp, Target is paralyzed for 1 round.
Improved Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/improved-shock-baton.webp,Upgraded battery coils deliver chained electrical arcs between multiple nearby targets.,2,FALSE,oneHanded,attack,,,,close,1,presence,d8+3,physical,hitPoints,Arc Charge,modules/cybermancy/assets/icons/weapons-feature/arc-charge.webp, Spend 1 Stress to arc lightning to another Very Close target.,Overload,modules/cybermancy/assets/icons/features/overload.webp, Targets nervous system locks up; they drop gear.
Improved Vibro-Knife,weapon,modules/cybermancy/assets/icons/weapons/improved-vibro-knife.webp,"Precision-tuned vibration edge allows for armor penetration and silent, efficient kills.",2,FALSE,oneHanded,attack,,,,melee,1,agility,d8+5,physical,hitPoints,Piercing,modules/cybermancy/assets/icons/weapons-feature/piercing.webp, Ignores 1 level of armor.,Assassins Cut,modules/cybermancy/assets/icons/features/assassins-cut.webp, Severe damage ignoring defenses.
Smartpistol Mk II,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-mk-ii.webp,Improved ballistic computer with predictive recoil compensation and infrared tracking.,2,FALSE,oneHanded,attack,,,,far,1,finesse,d6+5,physical,hitPoints,Smartlink,modules/cybermancy/assets/icons/weapons-feature/smartlink.webp, Auto-correct; reroll a miss once per scene.,Eye Shot,modules/cybermancy/assets/icons/features/eye-shot.webp, Disable optics or key sensors.
Compact SMG,weapon,modules/cybermancy/assets/icons/weapons/compact-smg.webp,A miniaturized submachine gun favored by covert teams — concealable but vicious in a firefight.,2,FALSE,twoHanded,attack,,,,close,1,agility,d6+6,physical,hitPoints,Burst Fire,modules/cybermancy/assets/icons/weapons-feature/burst-fire.webp, Spend Hope to hit two targets in Close range.,Crowd Control,modules/cybermancy/assets/icons/features/crowd-control.webp, Panic/disrupt all enemies in Very Close range.
Military Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/military-assault-rifle.webp,Hardened composite frame with select-fire and tactical uplink for squad-level coordination.,2,FALSE,twoHanded,attack,,,,far,1,strength,d8+6,physical,hitPoints,Suppressive Fire,modules/cybermancy/assets/icons/weapons-feature/suppressive-fire.webp," On Hope win, all enemies in line of fire mark Stress.",Armor Break,modules/cybermancy/assets/icons/features/armor-break.webp, Ignore armor; bullets chew through cover.
Street Sweeper Shotgun,weapon,modules/cybermancy/assets/icons/weapons/street-sweeper-shotgun.webp,Heavy drum-fed shotgun designed to clear rooms and alleys in seconds.,2,FALSE,twoHanded,attack,,,,close,1,instinct,d12+4,physical,hitPoints,Wide Scatter,modules/cybermancy/assets/icons/weapons-feature/wide-scatter.webp, Attack all targets in Very Close range once per scene.,Bone Shaker,modules/cybermancy/assets/icons/features/bone-shaker.webp, Target knocked prone and loses next turn.
Scoped Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/scoped-sniper-rifle.webp,Enhanced optics suite allows bullet trajectory correction and real-time target telemetry.,2,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d8+6,physical,hitPoints,Scoped,modules/cybermancy/assets/icons/weapons-feature/scoped.webp, Aim for advantage; crit chance rises if aiming 1 round.,Through and Through,modules/cybermancy/assets/icons/features/through-and-through.webp, Shot penetrates multiple targets.
Fragmentation Grenade+,weapon,modules/cybermancy/assets/icons/weapons/fragmentation-grenade-plus.webp,Factory-tuned military variant with denser shrapnel spread and wider kill radius.,2,FALSE,oneHanded,attack,,,,far,1,strength,d12+4,physical,hitPoints,Explosive,modules/cybermancy/assets/icons/weapons-feature/explosive.webp, Half damage to adjacent zones.,Massive Detonation,modules/cybermancy/assets/icons/features/massive-detonation.webp, Full damage in wider zone (Far).
EMP Grenade+,weapon,modules/cybermancy/assets/icons/weapons/emp-grenade-plus.webp,Improved electromagnetic charge capable of disabling entire comm grids in seconds.,2,FALSE,oneHanded,attack,,,,far,1,knowledge,d10,physical,hitPoints,Disruptive,modules/cybermancy/assets/icons/weapons-feature/disruptive.webp, Drones/tech roll at Disadvantage.,Grid Blackout,modules/cybermancy/assets/icons/features/grid-blackout.webp, All tech shuts down until reboot.
Corporate Mono-Whip,weapon,modules/cybermancy/assets/icons/weapons/corporate-mono-whip.webp,"A high-grade monofilament weapon issued to elite corp assassins — silent, perfect, final.",3,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d12+6,physical,hitPoints,Lethal Edge,modules/cybermancy/assets/icons/weapons-feature/lethal-edge.webp, Can slice through vehicles on Hope crit.,Corpse-Cutter,modules/cybermancy/assets/icons/features/corpse-cutter.webp," Destroy one environmental object (door, drone, wall)."
Titanium Cyber Spurs,weapon,modules/cybermancy/assets/icons/weapons/titanium-cyber-spurs.webp,Polished titanium spurs with self-cleaning servos and monomolecular precision edges.,3,FALSE,oneHanded,attack,,,,melee,1,instinct,d10+6,physical,hitPoints,Hidden Killer,modules/cybermancy/assets/icons/weapons-feature/hidden-killer.webp, +2 to first attack in combat.,Critical Tendons,modules/cybermancy/assets/icons/features/critical-tendons.webp, Cripple targets mobility permanently.
Heavy Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/heavy-shock-baton.webp,Industrial security baton capable of stunning cybernetic brutes and armored enforcers alike.,3,FALSE,oneHanded,attack,,,,close,1,presence,d10+5,physical,hitPoints,Chain Lightning,modules/cybermancy/assets/icons/weapons-feature/chain-lightning.webp," Spend 2 Hope, arc to 2 additional targets.",System Shutdown,modules/cybermancy/assets/icons/features/system-shutdown.webp, Target incapacitated (stun or KO).
Combat Vibro-Blade,weapon,modules/cybermancy/assets/icons/weapons/combat-vibro-blade.webp,"Balanced for extended melee, this knife hums with a subsonic pulse designed for battlefield chaos.",3,FALSE,oneHanded,attack,,,,melee,1,agility,d10+7,physical,hitPoints,High Frequency,modules/cybermancy/assets/icons/weapons-feature/high-frequency.webp, +2 to all attack rolls this scene after a hit.,Fatal Wound,modules/cybermancy/assets/icons/features/fatal-wound.webp, Additional 1d12 bleed damage next turn.
Smartpistol Elite,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-elite.webp,High-end model linked directly to neural networks for predictive targeting.,3,FALSE,oneHanded,attack,,,,far,1,finesse,d8+6,physical,hitPoints,Autotarget,modules/cybermancy/assets/icons/weapons-feature/autotarget.webp, Always ignore cover.,One-Shot Kill,modules/cybermancy/assets/icons/features/one-shot-kill.webp, Severe damage ignoring all armor.
Advanced SMG,weapon,modules/cybermancy/assets/icons/weapons/advanced-smg.webp,Modular close-combat firearm with smart recoil dampers and ammo tracking.,3,FALSE,twoHanded,attack,,,,close,1,agility,d6+9,physical,hitPoints,Bulletstorm,modules/cybermancy/assets/icons/weapons-feature/bulletstorm.webp," Once per rest, attack 3 targets in Close.",Suppression Killzone,modules/cybermancy/assets/icons/features/suppression-killzone.webp, Enemies must Retreat or mark Stress.
Advanced Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/advanced-assault-rifle.webp,Elite-issue firearm capable of sustained fire with minimal barrel drift.,3,FALSE,twoHanded,attack,,,,far,1,strength,d10+8,physical,hitPoints,Full Auto,modules/cybermancy/assets/icons/weapons-feature/full-auto.webp," Spend Hope, double damage dice.",Critical Barrage,modules/cybermancy/assets/icons/features/critical-barrage.webp," Mow down cover, forcing enemies into open."
Riot Shotgun,weapon,modules/cybermancy/assets/icons/weapons/riot-shotgun.webp,Crowd-control platform launching high-impact kinetic or shock shells to suppress hostiles.,3,FALSE,twoHanded,attack,,,,close,1,instinct,d12+8,physical,hitPoints,Knockback,modules/cybermancy/assets/icons/weapons-feature/knockback.webp, Push targets back one range band.,Concussive Blast,modules/cybermancy/assets/icons/features/concussive-blast.webp, Stun all in Close cone.
Anti-Materiel Sniper,weapon,modules/cybermancy/assets/icons/weapons/anti-materiel-sniper.webp,"Long-range rail weapon capable of puncturing vehicles, mechs, and even bunkers.",3,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d10+8,physical,hitPoints,Penetration,modules/cybermancy/assets/icons/weapons-feature/penetration.webp, Shoot through walls/vehicles.,Executioners Shot,modules/cybermancy/assets/icons/features/executioners-shot.webp, Instantly remove non-boss foe.
Cluster Grenade,weapon,modules/cybermancy/assets/icons/weapons/cluster-grenade.webp,A multi-charge fragmentation device that detonates across several zones at once.,3,FALSE,oneHanded,attack,,,,far,1,strength,d12+6,physical,hitPoints,Fragment Split,modules/cybermancy/assets/icons/weapons-feature/fragment-split.webp, Hit two separate zones.,Kill Zone,modules/cybermancy/assets/icons/features/kill-zone.webp, Full damage in all adjacent zones.
EMP Cascade,weapon,modules/cybermancy/assets/icons/weapons/emp-cascade.webp,A cascading EMP charge that disables all systems across multiple networks simultaneously.,3,FALSE,oneHanded,attack,,,,far,1,knowledge,d12,physical,hitPoints,System Overload,modules/cybermancy/assets/icons/weapons-feature/system-overload.webp, Devices take 2 rounds to recover.,Matrix Burnout,modules/cybermancy/assets/icons/features/matrix-burnout.webp, Deckers hit take HP damage directly.
Legendary Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/legendary-monofilament-whip.webp,"The apex of weaponized filaments, capable of cutting through armor, steel, or reality itself.",4,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d12+10,physical,hitPoints,Reality Cut,modules/cybermancy/assets/icons/weapons-feature/reality-cut.webp," Can slice vehicles, turrets, drones.",Sever Reality,modules/cybermancy/assets/icons/features/sever-reality.webp, Slice environment  create a permanent gap or hazard.
Diamond Cyber Spurs,weapon,modules/cybermancy/assets/icons/weapons/diamond-cyber-spurs.webp,Mirror-finish diamond-tipped spurs designed for surgical precision and absolute silence.,4,FALSE,oneHanded,attack,,,,melee,1,instinct,d12+9,physical,hitPoints,Ghost Kill,modules/cybermancy/assets/icons/weapons-feature/ghost-kill.webp, Cannot be tracked by sensors.,Spinal Sever,modules/cybermancy/assets/icons/features/spinal-sever.webp, Target permanently disabled unless cybernetically healed.
Thunder Baton,weapon,modules/cybermancy/assets/icons/weapons/thunder-baton.webp,"Electrified shock weapon tuned for area suppression, discharging arcs of blinding light and sound.",4,FALSE,oneHanded,attack,,,,close,1,presence,d12+9,physical,hitPoints,Overdrive,modules/cybermancy/assets/icons/weapons-feature/overdrive.webp," Once per rest, stun all enemies in Close range.",EMP Surge,modules/cybermancy/assets/icons/features/emp-surge.webp, Wipe out all small electronics in scene.
Nano Vibro-Blade,weapon,modules/cybermancy/assets/icons/weapons/nano-vibro-blade.webp,"A nano-edged weapon that self-sharpens at the molecular level, slicing even through armor plating.",4,FALSE,oneHanded,attack,,,,melee,1,agility,d12+9,physical,hitPoints,Self-Sharpening,modules/cybermancy/assets/icons/weapons-feature/self-sharpening.webp, Ignore all armor values.,Critical Dissection,modules/cybermancy/assets/icons/features/critical-dissection.webp, Narratively kill or disable any single non-boss foe.
Smartpistol Omega,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-omega.webp,An AI-driven sidearm that learns its wielder’s habits and compensates perfectly in combat.,4,FALSE,oneHanded,attack,,,,far,1,finesse,d10+10,physical,hitPoints,AI Assist,modules/cybermancy/assets/icons/weapons-feature/ai-assist.webp, Advantage on all ranged rolls.,Neural Kill,modules/cybermancy/assets/icons/features/neural-kill.webp, Bullet bypasses physical armor; deals Stress + HP.
Prototype SMG,weapon,modules/cybermancy/assets/icons/weapons/prototype-smg.webp,Experimental gyro-balanced SMG capable of recoil-free sustained bursts.,4,FALSE,twoHanded,attack,,,,close,1,agility,d8+11,physical,hitPoints,Gyrostabilized,modules/cybermancy/assets/icons/weapons-feature/gyrostabilized.webp, Fire with no recoil penalty.,Critical Spray,modules/cybermancy/assets/icons/features/critical-spray.webp, Hit all enemies in Close range automatically.
Gauss Rifle,weapon,modules/cybermancy/assets/icons/weapons/gauss-rifle.webp,Magnetic accelerator weapon firing hyper-velocity projectiles that punch through anything solid.,4,FALSE,twoHanded,attack,,,,far,1,strength,d12+12,physical,hitPoints,Rail Shot,modules/cybermancy/assets/icons/weapons-feature/rail-shot.webp, Spend Stress to deal double damage dice.,Hyper-Pierce,modules/cybermancy/assets/icons/features/hyper-pierce.webp, Shot tears through multiple enemies/vehicles in a line.
Plasma Shotgun,weapon,modules/cybermancy/assets/icons/weapons/plasma-shotgun.webp,Fires superheated plasma shells that vaporize targets and ignite the surrounding area.,4,FALSE,twoHanded,attack,,,,close,1,instinct,d12+12,physical,hitPoints,Meltdown,modules/cybermancy/assets/icons/weapons-feature/meltdown.webp, Spend Hope to add 1d8 burn damage.,Critical Inferno,modules/cybermancy/assets/icons/features/critical-inferno.webp, All targets in blast zone catch fire.
Orbital Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/orbital-sniper-rifle.webp,A satellite-linked rifle capable of marking and calling down orbital strikes.,4,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d12+12,physical,hitPoints,Satellite Link,modules/cybermancy/assets/icons/weapons-feature/satellite-link.webp, Call in orbital fire once per rest.,Heavens Lance,modules/cybermancy/assets/icons/features/heavens-lance.webp," Obliterate target zone, GM narrates consequences."
Annihilation Grenade,weapon,modules/cybermancy/assets/icons/weapons/annihilation-grenade.webp,"Compact tactical nuke delivering utter destruction in a small, precise radius.",4,FALSE,oneHanded,attack,,,,far,1,strength,d20,physical,hitPoints,Final Boom,modules/cybermancy/assets/icons/weapons-feature/final-boom.webp," Single-use, but massive radius.",Tactical Nuke (Micro),modules/cybermancy/assets/icons/features/tactical-nuke-micro.webp, Entire area wiped  citywide consequences.
EMP Singularity,weapon,modules/cybermancy/assets/icons/weapons/emp-singularity.webp,A massive EMP charge that disables all systems across multiple networks simultaneously within Very Far range,4,FALSE,oneHanded,attack,,,,far,1,knowledge,d20,physical,hitPoints,Blackout,modules/cybermancy/assets/icons/weapons-feature/blackout.webp, Kill power grid in 1 km radius once per rest.,System Collapse,modules/cybermancy/assets/icons/features/system-collapse.webp, Entire Matrix zone crashes beyond repair.
