name,tier,type,img,description,systemType,notes,motivesAndTactics,hitPoints,stress,difficulty,attackBonus,majorThreshold,severeThreshold,attackName,attackDescription,attackDamage,attackRange,attackImg,experienceName,experienceBonus
Rave Enforcer,1,adversary,rave-enforcer,Implanted subdermal LEDs pulse with hypnotic rhythm. Swings a reinforced baton synchronized to their internal beat-generator.,bruiser,,"intimidate, bully, steal, protect",7,3,12,2,8,14,Crowbar,This is not what the crowbar was meant for!,1d10+3,melee,crowbar,Unveiled Threats,3
Dockworker with Grease Stains,1,adversary,dockworker-with-grease-stains,"A heavy-lifting laborer used to moving crates, not dodging bullets.",bruiser,"Knows cargo schedules, smuggling habits, and who pays extra for quiet.","Prefers to shout and posture first; if provoked, swings hard and fast until the threat backs down.",5,2,11,1,4,6,Crate Hook,"A wide, heavy punch like swinging a crate hook at someone's jaw.",1d6,close,crate-hook,Recruit muscle or loading help,1
Autonomous Combat Drone (Ground),2,adversary,combat-drone-ground,A quadrupedal drone built for stability and pursuit.,bruiser,,Advance aggressively and pin targets.,5,1,12,3,7,10,Kinetic Slam,High-speed body impact.,1d10,close,combat-drone-ground,Extract mobility servos,2
Autonomous Guard Bot,2,adversary,autonomous-guard-bot,A compact bipedal bot with nonlethal and lethal options.,bruiser,,Patrol and challenge intruders directly.,5,1,12,3,6,9,Baton Strike,Electrified melee strike.,1d10,close,autonomous-guard-bot,Reprogram patrol logic,2
Ex-gang Member Trying to Stay Clean,2,adversary,ex-gang-member-trying-to-stay-clean,A former ganger with old scars and enough discipline to try another life.,bruiser,Has history with local crews and may still be on some lists.,"Avoids violence but will stand their ground when pushed, protecting bystanders before themselves.",5,2,12,2,5,8,Hard-right Hook,A practiced brawling punch that can drop an unprepared opponent.,1d6+1,close,hard-right-hook,Earn their guarded respect,2
Quiet Ganger,2,adversary,quiet-ganger,"A low-level gang member watching, listening, and reporting back to someone meaner.",bruiser,Has ties to a local crew and can call in trouble if offended.,"Stays calm and observant, then strikes hard and fast or signals allies if things escalate.",5,2,12,2,5,8,Gang Knife,A practiced stab with a short gang knife at close range.,1d6+1,close,gang-knife,Influence their gang's attitude,2
Ex-military Veteran,2,adversary,ex-military-veteran,A former soldier with outdated chrome and ingrained tactical reflexes.,bruiser,"Understands small-unit tactics, ambushes, and how corps wage war.","Assesses threats quickly, takes cover, and focuses on disabling the most dangerous target first.",5,2,13,2,6,9,Combat Strike,A practiced combination of strikes leveraging training and cybernetic strength.,1d6+2,close,combat-strike,Recruit hardened backup,2
Corp-Spec Guard Android,3,adversary,corp-guard-android,A humanoid android built for facility defense.,bruiser,,Advance methodically and neutralize threats.,7,1,14,5,10,14,Power Strike,Reinforced melee impact.,2d8,close,corp-guard-android,Extract android shell,3
Security Mech Frame,3,adversary,security-mech-frame,A compact exosuit used by facility defense teams.,bruiser,,Advance aggressively and control space.,7,1,14,5,11,15,Mech Slam,Powered exosuit impact.,2d8,close,security-mech-frame,Extract actuator core,3
Automated Barricade Deployment System,3,adversary,auto-barricade-system,Deployable steel plates with integrated weapon pods.,bruiser,,Block access and fire while advancing.,7,1,14,4,9,12,Barricade Burst,Integrated weapon pod volley.,2d8,veryClose,auto-barricade-system,Disassemble barricade,2
Pattern-Touched Beggar,1,adversary,pattern-touched-beggar,"Unpredictable, mumbling fragments of pattern phrases. Carries improvised weapons. Presence causes mild psychic static in their vicinity.",ranged,,"confuse, disorient, convert, suborn",4,4,10,1,4,9,Psychic Distrubance,Your brain is squeezed from the inside,1d6+1,far,psychic-distrubance,Resonance Knowledge,2
Automated Machinegun Turret,2,adversary,automated-machinegun-turret,A ceiling-mounted ballistic turret with automated targeting.,ranged,,Track heat signatures and suppress intruders.,5,1,12,4,6,9,Burst Fire,Rapid-fire suppression burst.,2d6,far,automated-machinegun-turret,Disable firing motor,2
Micro-Missile Sentry Pod,2,adversary,micro-missile-sentry-pod,A compact pod that fires guided micro-missiles.,ranged,,Target high-threat intruders with precision missiles.,5,1,12,4,5,8,Micro-Missile,Homing explosive projectile.,2d6+1,far,micro-missile-sentry-pod,Recover targeting core,2
Sonic Disruption Cannon,2,adversary,sonic-disruption-cannon,A high-frequency sonic weapon for hallways and chokepoints.,ranged,,Break formations and scatter intruders.,5,1,12,3,5,8,Sonic Burst,Directional sonic shockwave.,2d6,veryClose,sonic-disruption-cannon,Stabilize emitter core,2
Washed-up Mage,2,adversary,washed-up-mage,"An older mage whose power is frayed but not gone, haunted by past contracts.",ranged,"Knows occult hotspots, mana anomalies, and old rituals that still work.",Tries to warn people off first; uses low-grade spells at range and avoids getting surrounded.,5,2,12,2,4,7,Stinging Hex,A short-range burst of disruptive magic that sears nerves and focus.,1d8,melee,stinging-hex,Tap into arcane lore,2
Rail-Slug Wall Cannon,3,adversary,rail-slug-cannon,A wall-embedded railgun firing armor-piercing slugs.,ranged,,Target high-value intruders with extreme lethality.,7,1,14,5,9,12,Rail Slug,Hypervelocity slug.,2d10,far,rail-slug-cannon,Retrieve rail magnets,3
Auto-Targeting Sniper Node,3,adversary,auto-sniper-node,A rooftop precision node with thermal scope and rail-lens.,ranged,,Eliminate intruders at long distance.,7,1,14,5,8,12,Sniper Shot,Long-range high-caliber shot.,2d10,far,auto-sniper-node,Secure targeting optics,3
Heat-Seeking Micro-Rocket Turret,3,adversary,micro-rocket-turret,A compact turret firing miniature guided rockets.,ranged,,Track heat signatures and strike fast.,7,1,14,5,7,10,Micro-Rocket,Explosive micro-rocket.,2d10,far,micro-rocket-turret,Extract fuel cell,3
Burned-out Decker,1,adversary,burned-out-decker,A hacker whose nerves and implants are half-shot but who can still think sideways when pressed.,skulk,Has basic access to local low-tier systems and backdoor knowledge.,"Avoids physical confrontation, uses positioning and environment; only fights if their exit is blocked.",5,2,11,1,3,5,Shock Baton Jab,A short-range jolt from a cheap stun baton or taser module.,1d6-1,close,shock-baton-jab,Trade data or exploits,1
Diner Regular with Backpack,1,adversary,diner-regular-with-backpack,A regular who treats the booth like a second home and the backpack like a lifeline.,skulk,Carries most of their worldly possessions and knows who comes and goes.,"Keeps their head down until threatened, then fights to protect their pack and escape.",5,2,10,1,3,5,Pack Swing,Uses the heavy backpack as a swinging club.,1d6-1,close,pack-swing,Gain a street-level guide,1
Explosive Decoy Crate,1,adversary,explosive-decoy-crate,A booby-trapped storage crate meant to lure thieves.,skulk,,Explode when tampered with or scanned incorrectly.,3,1,10,3,3,5,Decoy Blast,High-pressure explosive burst.,2d6,close,explosive-decoy-crate,Identify safe crates,1
Glassmask Lookout,1,adversary,glassmask-lookout,"Wears a cracked, reflective faceplate that hides identity and displays looping memetic patterns. Uses a cheap pistol and a signal whistle tied to Abraxas-pattern frequencies.",skulk,,"hide, flank, divide, profit, escape",5,2,11,1,6,11,Heavy Pistol,Shots fired!,1d8,close,heavy-pistol,Backstab,2
Joyrider Biker,1,adversary,joyrider-biker,A thrill-seeker with a neon bike and a habit of outrunning trouble.,skulk,"Knows back alleys, ramps, and chase routes through the district.","Plays it cocky, striking once and then disengaging at speed if things look bad.",5,2,11,1,3,5,Helmet Smash,Cracks a helmet or fist into a target at close range.,1d6,close,helmet-smash,Gain a fast ride out,1
Local Courier,1,adversary,local-courier,A street courier hauling parcels and data chips through dangerous blocks on a tight schedule.,skulk,"Knows routes, choke points, and safe paths between districts.",Prefers to evade and outrun threats; will strike once to create an opening and then bolt.,5,2,10,1,3,5,Messenger's Elbow,A sharp elbow to the ribs while pushing past an obstacle.,1d6-1,close,messenger's-elbow,Secure their delivery help,1
Micro-camera,1,adversary,micro-camera,A fixed or pinhole surveillance camera tied into local or corporate feeds.,skulk,,observe; record,1,0,9,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Off-duty Prostitute Sipping Coffee,1,adversary,off-duty-prostitute-sipping-coffee,"A nightlife worker off the clock, dressed down and keeping a low profile in the corner booth.",skulk,Has good knowledge of local rumors and regulars.,"Watches exits and people, tries to de-escalate or slip away; fights only when trapped.",5,2,10,1,3,5,Hidden Stiletto,A quick stab from a concealed blade or improvised sharp.,1d6-1,close,hidden-stiletto,Gain their trust over coffee,1
Personal Drone,1,adversary,personal-drone,"A small consumer drone used for recording, courier work, or selfies.",skulk,,hover; record; evade,1,1,10,1,3,6,No attack,This device cannot attack,0,melee,no-attack,Minor Threat,2
Silent Alarm,1,adversary,silent-alarm,"A covert pressure plate, trip laser, or sensor that signals quietly when crossed.",skulk,,trigger silent alert,1,0,10,0,1,4,No attack,This device cannot attack,0,melee,no-attack,Alarm Trigger,1
Smart Claymore Charge,1,adversary,smart-claymore,A directional explosive with smart detonation logic.,skulk,,Detonate when line-of-sight criteria met.,3,1,10,3,3,5,Fragment Blast,Shrapnel cone explosion.,2d6,close,smart-claymore,Disarm explosive safely,1
Street Kid with Scavenged Cyberware,1,adversary,street-kid-with-scavenged-cyberware,A young survivor with mismatched implants and sharp survival instincts.,skulk,"Understands alleys, shortcuts, and who really owns the streets.","Acts fast and dirty, using distraction and hit-and-run tactics before disappearing.",5,2,11,1,3,5,Sucker Punch,A fast punch or kick aimed below the belt while the target is distracted.,1d6-1,close,sucker-punch,Show them a better option,1
Streetlamp (Surveillance),1,adversary,streetlamp-cam,A city lamp post with embedded micro-camera and networked control.,skulk,,illuminate; monitor; flag activity,1,0,9,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Autonomous Combat Drone (Aerial),2,adversary,combat-drone-aerial,A hovering drone armed with light kinetic weapons.,skulk,,Perform hit-and-run aerial sweeps.,5,1,12,3,5,8,Drone Burst,Short-burst autogun volley.,1d10,close,combat-drone-aerial,Salvage drone core,2
Corporate Courier,2,adversary,corporate-courier,A sleek courier trusted to move sensitive packages between secure sites.,skulk,Carries encrypted cargo and knows backdoor routes through corporate territory.,"Avoids conflict with precision; uses speed and environment to break line of sight, striking only to open an escape.",5,2,12,2,4,7,Disabling Kick,A fast kick to the knee or shin to slow pursuit.,1d6,close,disabling-kick,Intercept a high-value delivery,2
Electro-Pulse Mine,2,adversary,electro-pulse-mine,A mine that generates an EMP combined with neural shock.,skulk,,Trigger during clustered movement.,5,1,12,3,3,5,Pulse Shock,EMP + neural disruption.,2d6,close,electro-pulse-mine,Recover EMP coil,1
Fixer's Messenger,2,adversary,fixers-messenger,"A trusted courier carrying coded instructions, often underestimated until too late.",skulk,Serves as the eyes and ears of a more powerful fixer.,"Observes before acting, then strikes with speed; prefers to disengage and report rather than slug it out.",5,2,12,2,4,7,Silent Blade,"A quick, quiet knife strike meant to end a problem before it starts.",1d6+1,close,silent-blade,Open a connection to their fixer,2
Illegal Cybertech Dealer,2,adversary,illegal-cybertech-dealer,A back-alley tech who can source implants the corps pretend do not exist.,skulk,"Maintains contacts with smugglers, clinics, and street docs.","Prefers to bargain and stall, using cover and tricks; fights dirty when escape is blocked.",5,2,12,2,4,7,Surgical Strike,A precise stab or jab aimed at weak points learned from anatomy work.,1d6+1,close,surgical-strike,Secure black-market cyberware,2
Microdrone Swarm Dispenser,2,adversary,microdrone-swarm,Deploys a cloud of needle-equipped microdrones.,skulk,,Overwhelm targets with numbers and distraction.,5,1,12,3,6,9,Swarm Sting,Multiple microdrone punctures.,2d6,close,microdrone-swarm,Recover swarm canister,2
Monofilament Perimeter Wire,2,adversary,monofilament-wire,meleely invisible monofilament strands stretched across chokepoints.,skulk,,Slice through intruders who rush unsafely.,5,1,12,4,3,5,Filament Slice,Micro-thin cutting strike.,2d6,close,monofilament-wire,Mark safe path,1
Remote-Triggered Nanoshard Mine,2,adversary,nanoshard-mine,A mine that releases cutting nanoshards on detonation.,skulk,,Detonate remotely to deny routes.,5,1,12,3,3,5,Nanoshard Burst,Cloud of slicing nanites.,2d6+1,close,nanoshard-mine,Contain nanites,1
Runner Doing Fixer Errands,2,adversary,runner-doing-fixer-errands,A low-tier runner carrying someone else's package and reputation.,skulk,Acts as a contact point for a more powerful fixer and knows drop spots.,"Calculated and cautious, uses cover and retreats strategically, but will commit to quick decisive strikes.",5,2,12,2,5,8,Blade in the Shadows,A sudden close-quarters strike with a concealed knife or shock weapon.,1d6+1,close,blade-in-the-shadows,Establish a link to their fixer,2
Security Ripper-Drone,2,adversary,ripper-drone,A rotary-blade drone designed for close-quarters interception.,skulk,,Rush soft targets and harass flanks.,5,1,12,4,5,8,Blade Spin,Rapid spinning blade strike.,1d12,close,ripper-drone,Disable rotor harness,2
Choir of Glass knifer,1,adversary,choir-of-glass-knifer,"Carries a shard knife, low-end AR visor, and a pocket speaker that emits disorienting tones.",standard,,"harass, intimidate, threaten, convert",5,2,11,1,7,12,Stab,He slashes at you with a glass knife,1d6+2,melee,stab,Religious argument,2
Electronic Door Lock,1,adversary,electronic-lock,"A secured access panel using RFID, biometrics, or encoded credentials.",standard,,block access; log entries,1,0,10,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Bypass or Breach,1
Security Drone,1,adversary,security-drone,"A light patrol drone with sensors and loudspeaker, more watcher than fighter.",standard,,patrol; track; call backup,1,1,11,1,3,7,No attack,This device cannot attack,0,melee,no-attack,Minor Threat,2
Public Service Bot,1,adversary,service-bot,A low-autonomy cleaner or maintenance bot trundling along fixed patrol routes.,standard,,clean; repair; avoid hazards,1,0,9,0,3,7,No attack,This device cannot attack,0,melee,no-attack,Minor Threat,2
Late-shift Worker Eating Breakfast,1,adversary,late-shift-worker-eating-breakfast,"A tired worker grabbing a meal before or after a long shift, clothes stained with the day's labor.",standard,Generally avoids trouble unless cornered.,Wants to eat in peace and get back to work; will try to talk their way out or flee before fighting.,5,2,10,1,3,5,Desperate Swing,A hurried punch with a mug or plate when threatened.,1d6-1,close,desperate-swing,Relate to the working class,1
Sleep-deprived Student,1,adversary,sleep-deprived-student,A wired student juggling coursework and side gigs to stay ahead of debt.,standard,Has access to campus networks and niche research knowledge.,Panics under direct threat and lashes out once before trying to flee or hide.,5,2,10,1,3,5,Wild Swing,A clumsy swing with a backpack or tablet.,1d6-1,close,wild-swing,Tap into academic resources,1
Corp Intern With Tablet,1,adversary,corp-intern-with-tablet,"A junior employee juggling tasks on a company-issued slate, still believing in promotion ladders.",standard,Has limited but current information on corp projects and culture.,Avoids conflict at all costs; will yell for help or hide behind authority figures.,5,2,10,1,3,5,Desperate Swipe,A nervous swipe with the tablet or a kick at the shin.,1d6-1,close,desperate-swipe,Extract corporate gossip,1
Body-mod Enthusiast,1,adversary,body-mod-enthusiast,A citizen proudly displaying fresh cosmetic and functional augments.,standard,"Knows clinics, mod artists, and rumors about black-market cyberware.","Likes to show off and talk big; if provoked, uses augments for quick jabs or shoves.",5,2,11,1,3,5,Augmented Jab,A reinforced punch or shove leveraging implanted strength.,1d6,close,augmented-jab,Learn about cyberware sources,1
Drunk Salaryman,1,adversary,drunk-salaryman,A corporate employee several drinks past their limit and several hours past their shift.,standard,May let slip confidential details without realizing it.,"Staggers and blusters, swings once or twice before collapsing or retreating.",5,2,9,1,3,5,Sloppy Haymaker,"A wide, unsteady punch powered more by momentum than skill.",1d6-1,close,sloppy-haymaker,Coax secrets from loose lips,1
Augmented Street Performer,1,adversary,augmented-street-performer,A performer using tasteful luminous augments to turn bodies and light into art.,standard,"Draws crowds, hears chatter, and can mask other activity with a show.","Uses agility and misdirection, turning acrobatic moves into strikes or escapes when threatened.",5,2,11,1,3,5,Acrobatic Kick,A spinning kick or flip that doubles as both attack and escape.,1d6,close,acrobatic-kick,Leverage their crowd and cover,1
Off-duty Security Guard,2,adversary,off-duty-security-guard,"A corp-contracted guard off shift, still wired to read a room like a threat board.",standard,"Knows security protocols, patrol routes, and how corp response teams operate.","Tries verbal commands first, then precise takedowns; aims to control rather than kill.",5,2,12,2,5,8,Trained Takedown,A controlled strike and grapple aiming to put the target on the ground.,1d6+1,close,trained-takedown,Exploit their security knowledge,2
Echo Runner,1,adversary,echo-runner,Constant noise maker in combat.  Drops a beat and then beats on you,support,,"harass, confuse, dance, mobility, escape",4,2,10,1,5,10,Sonic Blast,A disorienting rush of sound,1d4+2,veryClose,sonic-blast,Cacophony,3
Smartphone / Commlink,1,adversary,commlink,A personal mesh-enabled comms and data device carried by almost everyone.,support,,communicate; store data,1,0,8,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Holo-terminal,1,adversary,holo-terminal,"A stand-alone terminal for public info, orders, or corp interface sessions.",support,,display data; accept input,1,0,9,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
AR Projector,1,adversary,ar-projector,A small projector that paints augmented reality overlays into local space.,support,,project overlays; distract,1,0,8,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Environmental Sensor,1,adversary,env-sensor,"A node that monitors air, chemical, or mana conditions and reports anomalies.",support,,detect anomalies; report,1,0,9,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Matrix Relay Node,1,adversary,matrix-relay,A mesh-network repeater extending wireless coverage through a location.,support,,extend signal; route traffic,1,0,9,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Smart Appliance,1,adversary,smart-appliance,An automated household or industrial unit with simple task routines.,support,,perform routine; malfunction,1,0,8,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Desk Console,1,adversary,desk-console,A seated corporate workstation with encrypted shells and limited privileges.,support,,process jobs; store records,1,0,10,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Data Haul,2
Medical Scanner,1,adversary,med-scanner,"A diagnostic scanner for vitals, implants, and basic nanotech assays.",support,,scan biometrics; log results,1,0,9,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Payment Terminal,1,adversary,payment-terminal,A credstick or palm-scan payment unit tied to identity and ledger systems.,support,,authenticate; record transaction,1,0,9,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Neon Sign Controller,1,adversary,neon-controller,A control box regulating local neon signage and ambient lighting.,support,,cycle signage; signal status,1,0,8,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Emergency Call Beacon,1,adversary,call-beacon,A wall-mounted beacon that pings responders and logs distress calls.,support,,raise alarm; tag location,1,0,9,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Alarm Trigger,1
Vehicle Node Interface,1,adversary,vehicle-node,"A diagnostic and control port for local vehicles, often melee parking.",support,,lock down; unlock; start systems,1,0,10,0,3,6,No attack,This device cannot attack,0,melee,no-attack,Bypass or Breach,2
Wearable Tech,1,adversary,wearable-tech,"A personal HUD, smart ear augment, or wrist display tied into the mesh.",support,,display feeds; capture sensor data,1,0,8,0,2,5,No attack,This device cannot attack,0,melee,no-attack,Device Interaction,1
Laser Tripwire Grid,1,adversary,laser-tripwire-grid,A fixed-beam laser intrusion grid that activates lethal countermeasures when crossed.,support,,Detect movement and trigger ambush responses; holds area denial patterns.,3,1,10,2,3,5,Laser Surge,Emit a focused burn pulse at the meleeest intruder.,1d6,melee,laser-tripwire-grid,Loot the grid controller,1
Shock-Floor Conduction Plates,1,adversary,shock-floor-plates,Conductive plates that deliver incapacitating shocks.,support,,Activate on pressure or remote trigger; immobilize intruders.,3,1,10,2,4,6,Shock Pulse,Emit a localized electrical discharge.,1d8,veryClose,shock-floor-plates,Bypass shock relay,1
Taser Web Launcher,1,adversary,taser-web-launcher,A wall unit that fires electrified capture webs.,support,,Immobilize intruders before alerting security.,3,1,10,2,3,5,Web Shot,Electro-web projectile.,1d8,close,taser-web-launcher,Disarm firing coils,1
Thermal Motion Detector,1,adversary,thermal-motion-detector,A heat-tracking sensor node with defensive shock emitters.,support,,Monitor temperature anomalies and alert reinforcements.,3,1,10,1,3,5,Thermal Zap,Short-range thermal shock.,1d6,close,thermal-motion-detector,Extract thermal lens,1
High-Voltage Security Door,1,adversary,high-voltage-door,A fortified door that shocks unauthorized contact.,support,,Hold positions and punish forced entry.,3,1,10,2,4,6,Arc Discharge,Electrical surge into touching target.,1d10,close,high-voltage-door,Bypass lock node,1
Entrapment Foam Ejector,1,adversary,entrapment-foam-ejector,A wall device that sprays hardening restraint foam.,support,,Disable movement and hold intruders.,3,1,10,1,3,5,Foam Jet,"Sticky, fast-hardening foam.",1d4,veryClose,entrapment-foam-ejector,Neutralize foam mix,1
Ceiling-Drop Restraint Mesh,1,adversary,restraint-mesh,A ceiling-mounted mesh trap that drops onto targets.,support,,Restrain and immobilize intruders quietly.,3,1,10,1,3,5,Mesh Drop,Weighted restraint mesh.,1d4,close,restraint-mesh,Recover mesh,1
Ceiling-Drop Restraint Mesh,1,adversary,ceiling-drop-mesh,A silent restraint mesh that drops from overhead panels.,support,,Capture intruders in chokepoints.,3,1,10,1,3,5,Mesh Snare,Weighted drop mesh.,1d4,close,ceiling-drop-mesh,Disarm release hooks,1
Down-on-his-luck Corporate Drone,1,adversary,down-on-his-luck-corporate-drone,"A burned-out office worker whose badge still works in a few places, even if their paycheck does not.",support,May still have low-level corp access codes or contacts.,Motivated by survival and a chance to climb back up; folds quickly under real threat.,5,2,10,1,3,5,Briefcase Bash,Swings a heavy briefcase or satchel in panic.,1d6-1,close,briefcase-bash,Leverage their corporate insight,1
Tired Paramedic on Break,1,adversary,tired-paramedic-on-break,"A medic between calls, uniform rumpled and eyes red from too many nights on duty.",support,Carries basic medical gear and knows recent casualty hot spots.,Focuses on protecting the injured and avoiding casualties; only attacks to disable a direct threat.,5,2,10,1,3,5,Stun Injector,A rapid jab with a sedative injector meant to drop a hostile without killing.,1d6-1,close,stun-injector,Gain field medical support,1
Synthetic-food Vendor,1,adversary,synthetic-food-vendor,A stall owner selling steaming trays of reconstituted everything to anyone with cred.,support,Hears all kinds of gossip from regulars and passing crews.,More interested in protecting their stall than winning fights; throws things or calls for help.,5,2,10,1,3,5,Scalding Toss,Hurls a hot pan or liquid to burn and distract.,1d6-1,close,scalding-toss,Trade for local rumors,1
Undercity Preacher,1,adversary,undercity-preacher,A street preacher calling for hope in places the corps forgot.,support,Knows the mood and needs of the local community and its hidden corners.,Tries to defuse violence with words; only fights to protect vulnerable people meleeby.,5,2,10,1,3,5,Staff Strike,A quick strike with a walking staff or heavy book.,1d6-1,close,staff-strike,Win the congregation's goodwill,1
Conspiracy Vlogger,1,adversary,conspiracy-vlogger,"A streamer convinced the world runs on hidden patterns, some of which are disturbingly accurate.",support,"Collects data, rumors, and footage that can expose or implicate powerful groups.","Threatens to broadcast everything if cornered, uses gear and noise to distract while escaping.",5,2,10,1,3,5,Camera Smash,Swings a reinforced camera rig into an attacker's face.,1d6-1,close,camera-smash,Gain access to their recordings,1
Awakened Kid,1,adversary,awakened-kid,A young person whose latent power makes lights flicker and air hum when they get emotional.,support,Acts as a sensor for strange energies and hidden phenomena.,Avoids direct conflict; lashes out reflexively with bursts of uncontrolled energy when frightened.,5,2,11,1,3,5,Wild Surge,A small uncontrolled pulse of magic that shocks meleeby threats.,1d6,close,wild-surge,Guide and protect their talent,1
Elderly Shopkeeper,1,adversary,elderly-shopkeeper,An older proprietor who has seen entire crews rise and vanish from their storefront.,support,Knows long-term neighborhood history and who owes favors to whom.,Prefers stern words and quiet pressure; resorts to hidden weapons only when absolutely necessary.,5,2,10,1,3,5,Hidden Cane,A sudden strike with a weighted cane or concealed baton.,1d6-1,close,hidden-cane,Win a long-term local ally,1
Hostile Intruder Spray Unit,2,adversary,intruder-spray-unit,A chemical dispersal node that emits irritants or neuro-gas.,support,,Disperse crowd-control or disabling agents.,5,1,12,2,4,6,Toxic Spray,Cone of chemical agent.,1d8,close,intruder-spray-unit,Recover chem canister,1
Guardrail Jackpot Trap,2,adversary,guardrail-jackpot,Conductive rails delivering concussive shockwaves.,support,,Channel intruders into kill-zones.,5,1,12,2,4,7,Shockwave Rail,Directed concussive pulse.,1d10,veryClose,guardrail-jackpot,Shut down rail power,1
Chemical Mist Neutralizer,2,adversary,chemical-mist-neutralizer,A dispersal unit that emits paralytic or disorienting mist.,support,,Fill hallways with disabling agents.,5,1,12,2,4,6,Mist Burst,Directed chemical mist.,1d8,close,chemical-mist-neutralizer,Salvage reagent pack,1
Portable Auto-Barricade,2,adversary,portable-auto-barricade,A mobile barricade drone deploying armored plates.,support,,Reinforce positions and obstruct movement.,5,1,12,2,5,7,Auto-Plate,Deploy impact plate.,1d8,close,portable-auto-barricade,Recover actuator motor,1
Street Medic,2,adversary,street-medic,A combat-capable medic patching up people the official system leaves to die.,support,"Has medical supplies, trauma knowledge, and dirt on who gets hurt where.",Focuses on stabilizing others; will target aggressors' joints or nerves to end fights quickly.,5,2,12,2,4,7,Nerve Pinch,A precise strike to a nerve cluster to stun or drop a foe.,1d6,close,nerve-pinch,Secure ongoing medical support,2
